MICHELIN_NM,FCLTY_NM,RDNMADR_NM,FCLTY_LO,FCLTY_LA,HMPG_URL,TEL_NO,REPRSNT_MENU_NM,FOOD_SPND_PRICE
1스타 미쉐린,주옥,서울특별시 중구 소공로 119 더 플라자호텔 3층,126.978136,37.56466,0,02-518-9393,코리아 컨템퍼러리,70000 - 140000
빕구르망,금산제면소,서울특별시 중구 소공로 6길 13,126.983719,37.558608,0,0,탄탄면,12000
1스타 미쉐린,피에르가니에르,서울특별시 중구 을지로 30 롯데호텔 35층,126.980921,37.564657,www.pierregagnaire.co.kr,02-317-7181,프렌치컨템퍼러리,75000 - 340000
더플레이트미쉐린,도림,서울특별시 중구 을지로 30 롯데호텔 37층,126.980921,37.564657,www.lottehotel.com/seoul,02-317-7101,중식,42000 - 400000
더플레이트미쉐린,모모야마,서울특별시 중구 을지로 30 롯데호텔 38층,126.980921,37.564657,www.lottehotel.com/seoul,02-317-7031,일식,30000 - 350000
더플레이트미쉐린,무궁화,서울특별시 중구 을지로 30 롯데호텔 38층,126.980921,37.564657,www.lottehotel.com/seoul,02-317-7061,한식,73000 - 230000
빕구르망,남포면옥,서울특별시 중구 을지로 3길 24,126.981791,37.567215,0,02-777-3131,냉면,10000 - 85000
빕구르망,이나니와요스케,서울특별시 중구 을지로 6,126.979213,37.565381,0,02-772-9994,우동,8000 - 70000
더플레이트미쉐린,평양면옥,서울특별시 중구 장충단로 207,127.006544,37.563173,0,02-2267-7784,냉면,12000 - 90000
빕구르망,우래옥,서울특별시 중구 창경궁로 62-29,126.998723,37.568224,0,02-2265-0151,냉면,12000 - 59000
빕구르망,충무로쭈꾸미불고기,서울특별시 중구 퇴계로 31길 11,126.992211,37.561772,0,02-2279-0803,바비큐,28000 - 35000
더플레이트미쉐린,라망시크레,서울특별시 중구 퇴계로 67 레스케이프 호텔 26층,126.979503,37.559851,www.lescapehotel.com,02-317-4003,유러피안컨템퍼러리,55000 - 150000
더플레이트미쉐린,팔레드신,서울특별시 중구 퇴계로 67 레스케이프 호텔 6층,126.979503,37.559851,www.lescapehotel.com,02-317-4001,중식,60000 - 150000
1스타 미쉐린,제로컴플렉스,서울특별시 중구 퇴계로 6가길 30 3층,126.978041,37.55673,0,02-532-0876,창작,70000 - 130000?
서울2021,가온,서울특별시 강남구 신사동,127.026502,37.52381,0,0,한식,
서울2021,라연,서울특별시 중구 장충동2가,127.000587,37.554995,0,0,한식,
서울2021,권숙수,서울특별시 강남구 청담동,127.050467,37.524402,0,0,한식,
서울2021,모수,서울특별시 용산구 한남동,127.005176,37.537545,0,0,이노베이트브,
서울2021,밍글스,서울특별시 강남구 청담동,127.050467,37.524402,0,0,컨템퍼러리,
서울2021,알라프리마,서울특별시 강남구 논현동,127.031713,37.51368,0,0,이노베이트브,
서울2021,임프레션,서울특별시 강남구 신사동,127.026502,37.52381,0,0,컨템퍼러리,
서울2021,정식당,서울특별시 강남구 청담동,127.050467,37.524402,0,0,컨템퍼러리,
서울2021,코지마,서울특별시 강남구 청담동,127.050467,37.524402,0,0,스시,
서울2021,라망시크레,서울특별시 중구 회현동,126.97938,37.557291,0,0,컨템퍼러리,
서울2021,무니,서울특별시 강남구 청담동,127.050467,37.524402,0,0,일식,
서울2021,미토우,서울특별시 강남구 신사동,127.026502,37.52381,0,0,일식,
서울2021,세븐스도어,서울특별시 강남구 청담동,127.050467,37.524402,0,0,컨템퍼러리,
서울2021,떼레노,서울특별시 종로구 가회동,126.984841,37.582685,0,0,스패니시,
서울2021,라미띠에,서울특별시 강남구 청담동,127.050467,37.524402,0,0,프렌치,
서울2021,묘미,서울특별시 강남구 논현동,127.031713,37.51368,0,0,이노베이트브,
서울2021,무오키,서울특별시 강남구 청담동,127.050467,37.524402,0,0,컨템퍼러리,
서울2021,브트르메종,서울특별시 강남구 청담동,127.050467,37.524402,0,0,프렌치,
서울2021,비채나,서울특별시 송파구 신천동,127.098973,37.523926,0,0,한식,
서울2021,스와니예,서울특별시 서초구 반포동,127.000758,37.50397,0,0,이노베이트브,
서울2021,스테이,서울특별시 송파구 신천동,127.098973,37.523926,0,0,프렌치,
서울2021,에빗,서울특별시 강남구 역삼동,127.03855,37.500085,0,0,이노베이트브,
서울2021,오프레,서울특별시 서초구 서초동,127.016797,37.488382,0,0,프렌치,
서울2021,은지음,서울특별시 종로구 창성동,126.972473,37.580568,0,0,한식,
서울2021,유유안,서울특별시 종로구 당주동,126.974011,37.571589,0,0,중식,
서울2021,익스퀴진,서울특별시 강남두 청담동,127.047378,37.51734,0,0,컨템퍼러리,
서울2021,제로콤플렉스,서울특별시 중구 남창동,126.977615,37.558087,0,0,이노베이트브,
서울2021,주옥,서울특별시 중구 태평로2가,126.99747,37.563763,0,0,한식,
